hhid,group_id,hhnomembers,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
115502,166,7,1,43,12,1,0,0,5,2,1,0,0,1,0,0
115504,166,6,1,59,0,0,1,0,5,1,0,0,0,0,1,0
115508,166,4,1,41,8,1,0,0,2,2,0,0,0,0,1,0
115510,166,5,1,36,0,0,1,0,2,3,0,0,0,0,1,0
115513,179,6,1,49,11,1,0,0,4,2,0,1,0,1,0,0
115517,166,5,0,26,8,1,0,0,2,3,1,0,0,1,0,0
115519,179,5,1,51,7,1,0,0,5,0,0,0,0,0,0,1
115526,179,4,1,54,9,1,0,0,2,2,0,0,0,0,0,1
115531,166,5,1,30,7,1,0,0,3,2,0,0,0,0,0,1
115544,179,3,0,44,0,0,1,0,2,1,0,0,0,1,0,0
115558,166,4,0,29,10,1,0,0,2,2,1,0,0,1,0,0
115578,179,5,1,49,7,1,0,0,5,0,0,0,0,0,0,1
115592,166,3,1,32,14,1,0,0,2,1,0,0,0,0,1,0
115597,179,4,1,47,10,1,0,0,2,2,0,0,0,1,0,0
115605,166,2,1,54,7,0,0,0,2,0,0,0,0,0,1,0
115606,166,7,1,39,11,1,0,0,4,3,0,0,0,0,1,0
115685,173,4,0,26,10,1,0,0,2,2,0,0,0,1,0,0
115691,173,4,1,53,7,0,0,0,4,0,0,0,0,0,0,1
115700,166,2,1,40,10,1,0,0,2,0,0,0,0,1,0,0
115710,168,3,0,53,10,1,0,0,3,0,0,0,0,0,1,0
115727,173,3,1,53,0,0,1,0,3,0,0,1,0,1,0,0
115736,173,7,1,70,0,1,1,0,5,2,1,0,0,1,0,0
115741,168,3,1,59,7,1,0,0,3,0,0,0,0,0,1,0
115754,179,4,1,50,11,1,0,0,2,2,0,0,0,1,0,0
115759,157,4,1,52,7,0,0,0,2,2,0,0,0,1,0,0
115769,167,4,1,58,7,1,0,0,4,0,0,0,0,0,1,0
115785,173,5,1,45,11,1,0,0,2,3,0,0,0,1,0,0
115788,168,3,1,62,12,1,0,0,3,0,0,0,0,0,1,0
115800,159,5,1,24,11,1,0,0,4,1,0,0,0,0,1,0
115801,157,3,1,60,0,1,1,0,3,0,0,0,0,0,1,0
115819,167,3,1,32,11,1,0,0,2,1,0,0,0,1,0,0
115822,159,3,1,48,12,1,0,0,2,1,0,0,0,0,1,0
115837,176,5,0,43,0,0,1,0,3,2,0,0,0,0,1,0
115846,157,6,1,61,7,0,0,0,3,3,0,0,0,0,1,0
115859,159,3,1,49,7,1,0,0,3,0,0,0,0,0,1,0
115860,157,5,1,34,10,1,0,0,2,3,0,0,0,0,0,1
115879,159,5,0,30,0,0,1,0,3,2,0,0,0,0,0,1
115900,176,5,1,35,11,1,0,0,3,2,0,0,0,0,1,0
115903,173,4,1,34,7,0,0,0,2,2,0,0,0,0,1,0
115908,159,3,1,32,12,1,0,0,3,0,0,0,0,0,1,0
115920,179,6,0,47,0,0,1,0,4,2,0,0,0,0,0,1
115952,173,4,0,44,0,0,1,0,4,0,0,0,0,0,1,0
115953,159,2,0,70,0,0,1,0,2,0,0,0,0,0,1,0
115956,159,4,1,29,10,1,0,0,2,2,0,0,0,0,1,0
115961,176,3,1,53,7,1,0,0,3,0,0,0,0,1,0,0
115973,173,4,1,49,8,1,0,0,2,2,0,0,0,0,1,0
115985,176,4,1,35,14,1,0,0,2,2,0,0,0,0,0,1
115986,169,4,1,48,7,0,0,0,3,1,0,0,0,0,1,0
115991,179,6,1,38,0,0,1,0,2,4,0,0,0,1,0,0
116011,179,2,0,39,0,0,1,0,2,0,0,0,0,0,0,1
116027,159,2,1,61,7,0,0,0,2,0,0,0,0,0,1,0
116039,157,4,1,61,14,1,0,0,4,0,0,0,0,0,1,0
116044,157,3,1,51,7,0,0,0,3,0,0,0,0,0,1,0
116053,167,5,1,37,8,1,0,0,3,2,0,0,0,0,1,0
116075,169,4,0,59,7,0,0,0,3,1,0,0,0,0,1,0
116078,169,3,1,54,11,1,0,0,3,0,0,0,0,0,1,0
116081,176,3,0,24,8,0,0,0,3,0,0,0,0,0,0,1
116085,159,6,1,44,0,0,1,0,2,4,0,0,0,0,0,1
116095,176,8,1,54,9,1,0,0,5,3,0,0,0,0,1,0
116096,159,3,1,26,18,1,0,1,2,1,0,0,0,0,1,0
116099,159,5,1,50,7,0,0,0,5,0,0,0,0,0,0,1
116113,159,2,1,62,7,1,0,0,2,0,0,0,0,0,1,0
116122,169,7,1,73,7,1,0,0,6,1,0,0,0,1,0,0
116136,159,2,0,59,7,0,0,0,1,1,0,0,0,0,1,0
